0,0,24,36,-1,-1,-1,-1,-1,-1
1,0.053395,24,36,-1,-1,-1,-1,-1,-1
2,0.097165,681,2102,-1,-1,-1,-1,-1,-1
3,0.144352,681,2102,-1,-1,-1,-1,-1,-1
4,0.050748,2375,4182,-1,-1,-1,-1,-1,-1
5,0.652088,5464,28619,-1,-1,-1,-1,-1,-1
6,0.013762,5464,28619,0,0.421074,3.14159,2.27451,1e+50,8.38604e+46
8,0.311646,753,3511,0.00400881,0.612806,3.08446,1.97274,161.87,5.99913
7,0.015178,4057,18718,0.00400881,0.665735,3.08446,1.90814,161.87,4.92337
8,0.098813,1657,7615,0.00400881,0.713081,3.08446,1.85358,161.87,4.49838
9,0.032019,1657,7581,0.00753366,0.72513,3.01368,1.8274,161.87,4.31979
10,0.071596,1657,7581,0.0163147,0.765634,2.70618,1.79948,40.7485,3.94962
7,0.009056,3035,13423,0.0163147,0.757086,2.79238,1.82054,40.7485,4.06222
8,0.062109,1778,8046,0.310874,0.772738,2.66153,1.79147,6.55972,3.81577
9,0.029447,1778,8045,0.310874,0.774589,2.58882,1.78695,6.43121,3.80423
10,0.067158,1778,8045,0.310224,0.788137,2.49826,1.77233,6.69673,3.7464
8,0.019508,1649,7476,0.310224,0.788583,2.49747,1.77036,5.74916,3.73842
12,0.025345,689,2387,0.405282,0.805286,2.38937,1.74755,5.23485,3.66339
13,-1,0,-1,-1,-1,-1,-1,-1,-1
