0,0,8,12,-1,-1,-1,-1,-1,-1
1,0.062302,8,12,-1,-1,-1,-1,-1,-1
2,0.557182,2112,9198,-1,-1,-1,-1,-1,-1
3,0.353725,2112,9198,-1,-1,-1,-1,-1,-1
4,0.102032,5514,13794,-1,-1,-1,-1,-1,-1
5,1.56136,12210,62966,-1,-1,-1,-1,-1,-1
6,0.034755,12210,62966,0.000165946,0.512523,2.95964,2.20271,33163.1,13.1636
8,0.903671,2499,12671,0.170507,0.735782,2.86871,1.83551,12.3148,4.10631
7,0.048084,9203,44448,0.169513,0.737274,2.86871,1.85914,10.7533,4.22164
8,0.246299,4319,21713,0.170507,0.765859,2.86871,1.82422,10.6096,3.92404
9,0.130733,4319,21708,0.184744,0.77851,2.74578,1.80234,8.39433,3.86252
10,0.193715,4319,21708,0.247906,0.80702,2.70064,1.76676,7.38577,3.68519
8,0.080956,3932,19642,0.29044,0.810555,2.70064,1.76426,6.75628,3.67451
10,0.031641,3932,19642,0.29044,0.810555,2.70064,1.76426,6.75628,3.67451
12,0,2458,11953,0.310115,0.821592,2.70064,1.7676,6.75628,3.64593
13,-1,0,-1,-1,-1,-1,-1,-1,-1
